"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Jocelyn Lor",6,375,4,18,"N",1,"Win","Y","Victor Gwee",371,4,1,0,0,0,0,2,"N",0,23,3,1,68
"Tan Jin Chor",6,392,6,19,"N",0,"Lose","Y","Ricky Purnomo",508,-116,1,0,1,1,0,1,"N",1,23,4,1,86
"Alex Tan",6,357,2,20,"N",0,"Lose","Y","Marlon Prudencio",378,-21,0,0,1,0,0,2,"N",7,6,3,0,0
"Hubert Wee",7,382,15,1,"N",0,"Lose","Y","William Kang",426,-44,1,0,1,1,0,2,"N",10,11,5,1,67
"Marlon Prudencio",7,397,17,2,"N",1,"Win","Y","Vinnith Ramamurti",344,53,1,1,1,1,0,3,"N",3,45,7,1,69
"Wong Zhi Yuan",7,428,19,3,"N",1,"Win","Y","Tan Jin Chor",417,11,1,1,1,0,0,1,"N",13,45,4,2,148
"Victor Gwee",7,404,20,4,"N",0,"Lose","Y","Alex Tan",530,-126,1,1,1,1,0,3,"N",10,16,7,1,60
"Tony Sim",7,362,11,5,"N",0,"Lose","Y","Nigel Richards",443,-81,0,0,0,1,0,2,"N",0,30,3,1,64
"Ricky Purnomo",7,420,18,6,"N",1,"Win","Y","Jocelyn Lor",301,119,2,0,0,0,0,2,"N",3,18,4,2,162
"Victor Chua",7,432,12,7,"N",1,"Win","Y","Aaron Chong",368,64,0,1,1,0,0,3,"N",1,59,5,1,80
"Michael Tang",7,379,16,8,"N",0,"Lose","Y","Martin Teo",398,-19,0,0,1,0,1,3,"N",7,45,5,1,66
"Yong Jian Rong",7,469,13,9,"N",1,"Win","Y","Vannitha Balasingam",390,79,1,1,0,1,1,2,"N",7,17,6,2,134
"Shim Yen Nee",7,418,14,10,"N",0,"Lose","Y","Yeo Kian Hung",448,-30,0,0,0,0,0,1,"N",1,29,1,2,160
"Nigel Richards",7,443,5,11,"N",1,"Win","N","Tony Sim",362,81,2,1,1,0,1,2,"N",11,7,7,1,100
